time,f50,m50,f25,m25,f10,m10,f5,m5,f1,m1,f0.5,m0.5,f0.1,m0.1 
3.436426,14.166186,17.5619,9.992557,17.9408,5.915277,18.5101,3.731256,19.0104,0.99823,20.4419,0.485564,21.2244,0.056409,23.5616
3.457764,14.216168,17.558,10.021293,17.9377,5.92577,18.5081,3.733894,19.0096,0.995569,20.4448,0.483325,21.2294,0.055816,23.5731
3.479102,14.265864,17.5543,10.049802,17.9346,5.936114,18.5062,3.736438,19.0089,0.992899,20.4477,0.481091,21.2344,0.055231,23.5845
3.50044,14.315278,17.5505,10.078086,17.9316,5.946311,18.5044,3.738889,19.0081,0.99022,20.4507,0.478863,21.2395,0.054652,23.596
3.521778,14.36441,17.5468,10.106146,17.9285,5.956362,18.5025,3.741249,19.0075,0.987533,20.4536,0.476641,21.2445,0.054079,23.6074
3.543116,14.413263,17.5431,10.133983,17.9255,5.966269,18.5007,3.743519,19.0068,0.984838,20.4566,0.474424,21.2496,0.053514,23.6188
3.564454,14.461838,17.5394,10.161601,17.9226,5.976032,18.499,3.7457,19.0062,0.982136,20.4596,0.472214,21.2547,0.052954,23.6302
3.585792,14.510137,17.5358,10.189,17.9197,5.985654,18.4972,3.747793,19.0056,0.979427,20.4626,0.470009,21.2597,0.052401,23.6416
3.60713,14.558161,17.5322,10.216181,17.9168,5.995135,18.4955,3.749799,19.005,0.976711,20.4656,0.467811,21.2648,0.051855,23.653
3.628468,14.605913,17.5287,10.243147,17.9139,6.004477,18.4938,3.75172,19.0044,0.973988,20.4686,0.465619,21.2699,0.051314,23.6644
3.649806,14.653393,17.5252,10.269899,17.9111,6.013682,18.4921,3.753556,19.0039,0.97126,20.4717,0.463433,21.275,0.05078,23.6758
3.671143,14.700605,17.5217,10.296439,17.9083,6.02275,18.4905,3.755308,19.0034,0.968526,20.4747,0.461254,21.2801,0.050252,23.6871
3.692481,14.747548,17.5182,10.322767,17.9055,6.031684,18.4889,3.756978,19.0029,0.965786,20.4778,0.459081,21.2853,0.049729,23.6985
3.713819,14.794226,17.5148,10.348887,17.9028,6.040483,18.4873,3.758566,19.0024,0.963042,20.4809,0.456916,21.2904,0.049213,23.7098
3.735157,14.840639,17.5114,10.374798,17.9001,6.049151,18.4858,3.760074,19.002,0.960293,20.484,0.454757,21.2956,0.048703,23.7211
3.756495,14.886789,17.508,10.400504,17.8974,6.057687,18.4842,3.761502,19.0016,0.957539,20.4871,0.452604,21.3007,0.048198,23.7324
3.777833,14.932678,17.5047,10.426004,17.8947,6.066093,18.4827,3.762852,19.0012,0.954781,20.4902,0.450459,21.3059,0.047699,23.7437
3.799171,14.978308,17.5013,10.451301,17.8921,6.07437,18.4812,3.764124,19.0008,0.95202,20.4934,0.448321,21.311,0.047206,23.755
3.820509,15.023679,17.4981,10.476397,17.8895,6.08252,18.4798,3.76532,19.0005,0.949255,20.4965,0.44619,21.3162,0.046718,23.7663
3.841847,15.068794,17.4948,10.501292,17.8869,6.090544,18.4784,3.76644,19.0002,0.946486,20.4997,0.444066,21.3214,0.046236,23.7775
